areaCode,areaName,areaType,date,newCasesByPublishDate,newCasesBySpecimenDate
K02000001,United Kingdom,overview,2021-04-21,2396.0,
K02000001,United Kingdom,overview,2021-04-20,2524.0,
K02000001,United Kingdom,overview,2021-04-19,2963.0,2411.0
K02000001,United Kingdom,overview,2021-04-18,1882.0,2434.0
K02000001,United Kingdom,overview,2021-04-17,2206.0,1569.0
K02000001,United Kingdom,overview,2021-04-16,2596.0,2184.0
K02000001,United Kingdom,overview,2021-04-15,2672.0,2274.0
K02000001,United Kingdom,overview,2021-04-14,2491.0,2460.0
K02000001,United Kingdom,overview,2021-04-13,2472.0,2406.0
K02000001,United Kingdom,overview,2021-04-12,3568.0,2865.0
K02000001,United Kingdom,overview,2021-04-11,1730.0,2362.0
K02000001,United Kingdom,overview,2021-04-10,2589.0,2293.0
K02000001,United Kingdom,overview,2021-04-09,3150.0,2833.0
K02000001,United Kingdom,overview,2021-04-08,3030.0,3043.0
K02000001,United Kingdom,overview,2021-04-07,2763.0,3124.0
K02000001,United Kingdom,overview,2021-04-06,2379.0,3137.0
K02000001,United Kingdom,overview,2021-04-05,2762.0,2617.0
K02000001,United Kingdom,overview,2021-04-04,2297.0,2282.0
K02000001,United Kingdom,overview,2021-04-03,3423.0,2384.0
K02000001,United Kingdom,overview,2021-04-02,3402.0,2618.0
K02000001,United Kingdom,overview,2021-04-01,4479.0,3473.0
K02000001,United Kingdom,overview,2021-03-31,4052.0,3746.0
K02000001,United Kingdom,overview,2021-03-30,4040.0,3570.0
K02000001,United Kingdom,overview,2021-03-29,4654.0,3964.0
K02000001,United Kingdom,overview,2021-03-28,3862.0,4638.0
K02000001,United Kingdom,overview,2021-03-27,4715.0,3526.0
K02000001,United Kingdom,overview,2021-03-26,6187.0,4384.0
K02000001,United Kingdom,overview,2021-03-25,6397.0,5395.0
K02000001,United Kingdom,overview,2021-03-24,5605.0,6007.0
K02000001,United Kingdom,overview,2021-03-23,5379.0,5249.0
K02000001,United Kingdom,overview,2021-03-22,5342.0,6195.0
K02000001,United Kingdom,overview,2021-03-21,5312.0,5233.0
K02000001,United Kingdom,overview,2021-03-20,5587.0,4096.0
K02000001,United Kingdom,overview,2021-03-19,4802.0,4992.0
K02000001,United Kingdom,overview,2021-03-18,6303.0,5473.0
K02000001,United Kingdom,overview,2021-03-17,5758.0,5774.0
