date,areaType,areaCode,areaName,newCasesByPublishDate,newCasesBySpecimenDate
2020-03-25,overview,K02000001,United Kingdom,1452,
2020-03-24,overview,K02000001,United Kingdom,1427,
2020-03-23,overview,K02000001,United Kingdom,967,
2020-03-22,overview,K02000001,United Kingdom,665,
2020-03-21,overview,K02000001,United Kingdom,1035,
2020-03-20,overview,K02000001,United Kingdom,714,
2020-03-19,overview,K02000001,United Kingdom,643,
2020-03-18,overview,K02000001,United Kingdom,676,
2020-03-17,overview,K02000001,United Kingdom,407,
2020-03-16,overview,K02000001,United Kingdom,152,
2020-03-15,overview,K02000001,United Kingdom,330,
2020-03-14,overview,K02000001,United Kingdom,264,
2020-03-13,overview,K02000001,United Kingdom,207,
2020-03-12,overview,K02000001,United Kingdom,134,
2020-03-11,overview,K02000001,United Kingdom,83,
2020-03-10,overview,K02000001,United Kingdom,52,
2020-03-09,overview,K02000001,United Kingdom,50,
2020-03-08,overview,K02000001,United Kingdom,65,
2020-03-07,overview,K02000001,United Kingdom,46,
2020-03-06,overview,K02000001,United Kingdom,46,
2020-03-05,overview,K02000001,United Kingdom,29,
2020-03-04,overview,K02000001,United Kingdom,34,
2020-03-03,overview,K02000001,United Kingdom,11,
2020-03-02,overview,K02000001,United Kingdom,5,
2020-03-01,overview,K02000001,United Kingdom,12,
2020-02-29,overview,K02000001,United Kingdom,4,
2020-02-28,overview,K02000001,United Kingdom,6,
2020-02-27,overview,K02000001,United Kingdom,0,
2020-02-26,overview,K02000001,United Kingdom,0,
2020-02-25,overview,K02000001,United Kingdom,0,
2020-02-24,overview,K02000001,United Kingdom,4,
2020-02-23,overview,K02000001,United Kingdom,0,
2020-02-22,overview,K02000001,United Kingdom,0,
2020-02-21,overview,K02000001,United Kingdom,0,
2020-02-20,overview,K02000001,United Kingdom,0,
2020-02-19,overview,K02000001,United Kingdom,0,
2020-02-18,overview,K02000001,United Kingdom,0,
2020-02-17,overview,K02000001,United Kingdom,0,
2020-02-16,overview,K02000001,United Kingdom,0,
2020-02-15,overview,K02000001,United Kingdom,0,
2020-02-14,overview,K02000001,United Kingdom,0,
2020-02-13,overview,K02000001,United Kingdom,1,
2020-02-12,overview,K02000001,United Kingdom,0,
2020-02-11,overview,K02000001,United Kingdom,0,
2020-02-10,overview,K02000001,United Kingdom,4,
2020-02-09,overview,K02000001,United Kingdom,1,
2020-02-08,overview,K02000001,United Kingdom,0,
2020-02-07,overview,K02000001,United Kingdom,0,
2020-02-06,overview,K02000001,United Kingdom,1,
2020-02-05,overview,K02000001,United Kingdom,0,
2020-02-04,overview,K02000001,United Kingdom,0,
2020-02-03,overview,K02000001,United Kingdom,0,
2020-02-02,overview,K02000001,United Kingdom,0,
2020-02-01,overview,K02000001,United Kingdom,0,
2020-01-31,overview,K02000001,United Kingdom,2,
2020-01-30,overview,K02000001,United Kingdom,0,
2020-01-29,overview,K02000001,United Kingdom,0,
2020-01-28,overview,K02000001,United Kingdom,0,
2020-01-27,overview,K02000001,United Kingdom,0,
2020-01-26,overview,K02000001,United Kingdom,0,
2020-01-25,overview,K02000001,United Kingdom,0,
2020-01-24,overview,K02000001,United Kingdom,0,
2020-01-23,overview,K02000001,United Kingdom,0,
2020-01-22,overview,K02000001,United Kingdom,0,
2020-01-21,overview,K02000001,United Kingdom,0,
2020-01-20,overview,K02000001,United Kingdom,0,
2020-01-19,overview,K02000001,United Kingdom,0,
2020-01-18,overview,K02000001,United Kingdom,0,
2020-01-17,overview,K02000001,United Kingdom,0,
2020-01-16,overview,K02000001,United Kingdom,0,
2020-01-15,overview,K02000001,United Kingdom,0,
2020-01-14,overview,K02000001,United Kingdom,0,
2020-01-13,overview,K02000001,United Kingdom,0,
2020-01-12,overview,K02000001,United Kingdom,0,
2020-01-11,overview,K02000001,United Kingdom,0,
2020-01-10,overview,K02000001,United Kingdom,0,
2020-01-09,overview,K02000001,United Kingdom,0,
2020-01-08,overview,K02000001,United Kingdom,0,
2020-01-07,overview,K02000001,United Kingdom,0,
2020-01-06,overview,K02000001,United Kingdom,0,
2020-01-05,overview,K02000001,United Kingdom,0,
2020-01-04,overview,K02000001,United Kingdom,0,
2020-01-03,overview,K02000001,United Kingdom,0,
